customer_id,age,gender,annual_income,spending_score,membership_years,online_purchases,discount_usage,churn,gender_encoded,income_per_purchase,spending_to_income_ratio,engagement_score,discount_sensitivity,age_group
1,56,Male,69812,88,3.2,92,0.43,True,1,750.6666666666666,1.260528275941099,294.40000000000003,37.839999999999996,Gen X
2,69,Female,70500,26,4.3,30,0.23,True,0,2274.1935483870966,0.36879432624113473,129.0,5.98,Seniors
3,46,Female,99151,17,8.2,199,0.52,False,0,495.755,0.1714556585410132,1631.8,8.84,Gen X
4,32,Male,78643,71,0.6,153,0.25,False,1,510.66883116883116,0.9028139821726028,91.8,17.75,Millennials
5,60,Female,64900,13,6.7,127,0.94,False,0,507.03125,0.20030816640986132,850.9,12.219999999999999,Gen X
6,25,Female,62946,69,6.9,193,0.91,False,0,324.4639175257732,1.0961776761033266,1331.7,62.79,Gen Z
7,38,Female,27851,26,8.1,115,0.57,False,0,240.0948275862069,0.9335391906933324,931.5,14.819999999999999,Millennials
8,56,Male,36288,49,9.4,6,0.35,False,1,5184.0,1.3503086419753085,56.400000000000006,17.15,Gen X
9,36,Female,92692,67,0.7,18,0.38,True,0,4878.526315789473,0.722823976179174,12.6,25.46,Millennials
10,40,Female,87580,7,2.0,10,0.41,False,0,7961.818181818182,0.07992692395524092,20.0,2.8699999999999997,Millennials
11,28,Male,27368,58,8.9,92,0.73,False,1,294.2795698924731,2.119263373282666,818.8000000000001,42.339999999999996,Millennials
12,28,Male,105436,49,4.9,139,0.45,False,1,753.1142857142858,0.46473690200690465,681.1,22.05,Millennials
13,41,Female,116136,53,5.9,193,0.86,True,0,598.639175257732,0.456361507198457,1138.7,45.58,Gen X
14,53,Female,66403,65,6.8,77,0.94,False,0,851.3205128205128,0.978871436531482,523.6,61.099999999999994,Gen X
15,57,Male,111170,62,7.0,101,0.34,False,1,1089.9019607843138,0.5577044166591706,707.0,21.080000000000002,Gen X
16,41,Male,29168,17,9.4,84,0.56,True,1,343.15294117647056,0.5828304991771804,789.6,9.520000000000001,Gen X
17,20,Female,106497,43,10.0,193,0.1,False,0,548.9536082474227,0.4037672422697353,1930.0,4.3,Gen Z
18,39,Female,69879,25,7.3,52,0.2,False,0,1318.4716981132076,0.35776127305771405,379.59999999999997,5.0,Millennials
19,19,Female,79871,3,3.2,195,0.41,True,0,407.5051020408163,0.03756056641334151,624.0,1.23,Gen Z
20,41,Female,129632,79,8.9,31,0.21,False,0,4051.0,0.609417427795606,275.90000000000003,16.59,Gen X
21,61,Male,131623,29,1.0,145,0.88,True,1,901.527397260274,0.2203262347765968,145.0,25.52,Seniors
22,47,Female,109388,32,2.7,183,0.16,False,0,594.5,0.2925366585000183,494.1,5.12,Gen X
23,55,Female,118646,26,9.0,110,0.46,False,0,1068.882882882883,0.21913928830301907,990.0,11.96,Gen X
24,19,Male,52174,16,2.9,93,0.61,True,1,555.0425531914893,0.3066661555564074,269.7,9.76,Gen Z
25,38,Female,119751,25,2.6,164,0.69,False,0,725.7636363636364,0.20876652387036435,426.40000000000003,17.25,Millennials
26,50,Male,112491,54,1.8,154,0.38,True,1,725.7483870967742,0.48003840307224577,277.2,20.52,Gen X
27,29,Female,26581,28,8.7,53,0.87,True,0,492.24074074074076,1.053383996087431,461.09999999999997,24.36,Millennials
28,39,Female,130155,73,5.3,145,0.57,True,0,891.472602739726,0.5608697322423265,768.5,41.61,Millennials
29,61,Male,91853,56,6.9,86,0.44,True,1,1055.7816091954023,0.6096697984823577,593.4,24.64,Seniors
30,42,Male,84046,65,2.8,153,0.07,False,1,545.7532467532468,0.773386002903172,428.4,4.550000000000001,Gen X
31,66,Female,69678,93,7.7,2,0.46,True,0,23226.0,1.3347110996297253,15.4,42.78,Seniors
32,44,Female,128392,86,7.7,86,0.82,False,0,1475.7701149425288,0.6698236650258583,662.2,70.52,Gen X
33,59,Female,131250,80,3.5,133,0.61,False,0,979.4776119402985,0.6095238095238096,465.5,48.8,Gen X
34,45,Male,46649,41,4.4,4,0.83,True,1,9329.8,0.87890415657356,17.6,34.03,Gen X
35,33,Female,147795,51,2.5,164,0.49,False,0,895.7272727272727,0.3450725667309449,410.0,24.99,Millennials
36,32,Male,108668,71,9.8,6,0.12,False,1,15524.0,0.6533662163654433,58.800000000000004,8.52,Millennials
37,64,Male,102325,78,6.6,149,0.01,False,1,682.1666666666666,0.7622770583923772,983.4,0.78,Seniors
38,68,Female,34567,29,9.4,118,0.3,False,0,290.47899159663865,0.8389504440651488,1109.2,8.7,Seniors
39,61,Male,100404,83,3.4,89,0.7,True,1,1115.6,0.8266602924186287,302.59999999999997,58.099999999999994,Seniors
40,69,Female,109906,19,7.9,154,0.79,False,0,709.0709677419355,0.1728750022746711,1216.6000000000001,15.010000000000002,Seniors
41,20,Female,128069,66,7.8,183,0.3,False,0,696.0271739130435,0.5153471956523437,1427.3999999999999,19.8,Gen Z
42,54,Female,116019,41,7.1,167,0.5,True,0,690.5892857142857,0.3533903929528784,1185.7,20.5,Gen X
43,68,Female,81944,45,9.7,161,0.42,False,0,505.82716049382714,0.5491555208435028,1561.6999999999998,18.9,Seniors
44,24,Female,138428,15,4.2,14,0.41,False,0,9228.533333333333,0.10835958043170457,58.800000000000004,6.1499999999999995,Gen Z
45,38,Male,98002,3,1.7,56,0.23,False,1,1719.3333333333333,0.03061162017101692,95.2,0.6900000000000001,Millennials
46,26,Male,48803,11,6.9,81,0.14,False,1,595.1585365853658,0.2253959797553429,558.9,1.54,Millennials
47,56,Female,38230,53,7.4,149,0.2,False,0,254.86666666666667,1.386345801726393,1102.6000000000001,10.600000000000001,Gen X
48,35,Female,37862,46,6.0,46,0.06,True,0,805.5744680851063,1.2149384607257936,276.0,2.76,Millennials
49,21,Male,63355,30,2.5,144,0.2,False,1,436.9310344827586,0.47352221608397127,360.0,6.0,Gen Z
50,42,Male,51259,57,5.3,16,0.01,True,1,3015.235294117647,1.1119998439298464,84.8,0.5700000000000001,Gen X
51,31,Male,119075,18,3.5,120,0.63,True,1,984.0909090909091,0.15116523199664078,420.0,11.34,Millennials
52,67,Male,107445,51,4.6,84,0.32,False,1,1264.0588235294117,0.47466145469775234,386.4,16.32,Seniors
53,26,Female,50795,48,6.6,157,0.97,False,0,321.4873417721519,0.9449748991042426,1036.2,46.56,Millennials
54,43,Female,134604,66,7.6,8,0.19,False,0,14956.0,0.4903271819559597,60.8,12.540000000000001,Gen X
55,19,Male,28770,96,2.7,88,0.35,False,1,323.2584269662921,3.3368091762252345,237.60000000000002,33.599999999999994,Gen Z
56,37,Female,31093,8,4.4,131,0.36,True,0,235.5530303030303,0.2572926382143891,576.4000000000001,2.88,Millennials
57,45,Male,66571,22,3.1,19,0.01,False,1,3328.55,0.33047423052079733,58.9,0.22,Gen X
58,64,Female,20193,6,2.4,97,0.84,False,0,206.05102040816325,0.2971326697370376,232.79999999999998,5.04,Seniors
59,24,Male,120311,76,7.9,66,0.03,False,1,1795.686567164179,0.6316961873810375,521.4,2.28,Gen Z
60,61,Female,37569,57,9.1,79,0.94,False,0,469.6125,1.5172083366605447,718.9,53.58,Seniors
61,25,Male,137082,36,4.0,86,0.89,False,1,1575.655172413793,0.262616536087889,344.0,32.04,Gen Z
62,64,Male,31190,79,7.6,124,0.54,False,1,249.52,2.5328630971465214,942.4,42.660000000000004,Seniors
63,52,Female,82824,92,9.0,150,0.54,False,0,548.5033112582781,1.1107891432435042,1350.0,49.68000000000001,Gen X
64,31,Male,62752,57,8.5,46,0.65,False,1,1335.1489361702127,0.9083375828658847,391.0,37.050000000000004,Millennials
65,34,Female,52327,49,2.2,113,0.39,False,0,459.00877192982455,0.9364190570833413,248.60000000000002,19.11,Millennials
66,53,Female,62070,45,9.6,91,0.65,True,0,674.6739130434783,0.7249879168680522,873.6,29.25,Gen X
67,67,Male,105925,82,4.1,141,0.04,False,1,745.9507042253521,0.7741326410195893,578.0999999999999,3.2800000000000002,Seniors
68,57,Female,60197,66,3.7,33,0.05,False,0,1770.5,1.0964001528315364,122.10000000000001,3.3000000000000003,Gen X
69,21,Female,22261,77,1.1,133,0.46,False,0,166.12686567164178,3.4589641076321818,146.3,35.42,Gen Z
70,19,Female,138424,45,5.1,77,0.55,False,0,1774.6666666666667,0.3250881350054904,392.7,24.750000000000004,Gen Z
71,23,Female,113905,79,1.5,155,0.89,True,0,730.1602564102565,0.6935604231596506,232.5,70.31,Gen Z
72,59,Female,46512,20,2.9,121,0.1,False,0,381.24590163934425,0.4299965600275198,350.9,2.0,Gen X
73,21,Male,26716,64,3.5,128,0.82,False,1,207.10077519379846,2.3955681988321604,448.0,52.48,Gen Z
74,46,Female,106795,93,8.2,78,0.21,True,0,1351.8354430379748,0.8708272859216255,639.5999999999999,19.529999999999998,Gen X
75,35,Female,48933,93,8.8,152,0.39,True,0,319.8235294117647,1.9005579057078046,1337.6000000000001,36.27,Millennials
76,43,Female,127225,67,3.4,67,0.32,False,0,1870.9558823529412,0.5266260561996463,227.79999999999998,21.44,Gen X
77,61,Female,24378,83,8.7,115,0.4,False,0,210.1551724137931,3.404709164000328,1000.4999999999999,33.2,Seniors
78,51,Female,60583,3,8.6,63,0.15,True,0,946.609375,0.04951884191935031,541.8,0.44999999999999996,Gen X
79,27,Male,132082,54,7.8,113,0.5,False,1,1158.6140350877192,0.40883693463151677,881.4,27.0,Millennials
